file,shape,slices,voxel_spacing_x,voxel_spacing_y,voxel_spacing_z,dtype,min,max,mean,std
LIDC-IDRI-0026.nii.gz,"(512, 512, 257)",257,0.787109,0.787109,1.25,float64,-2000.0,2774.0,-110.33881047170914,1061.6465797060469
LIDC-IDRI-0027.nii.gz,"(512, 512, 133)",133,0.859375,0.859375,2.5,float64,-1024.0,3190.0,212.0106085010041,768.1951385035458
LIDC-IDRI-0028.nii.gz,"(512, 512, 141)",141,0.664062,0.664062,2.5,float64,-1024.0,2692.0,174.2421855520695,746.4852976691242
LIDC-IDRI-0029.nii.gz,"(512, 512, 273)",273,0.878906,0.878906,1.25,float64,-2000.0,4095.0,-94.09243873624138,1072.2712731534136
LIDC-IDRI-0030.nii.gz,"(512, 512, 119)",119,0.703125,0.703125,2.5,float64,-1024.0,7373.0,203.67615727015905,766.439480256641
LIDC-IDRI-0031.nii.gz,"(512, 512, 133)",133,0.859375,0.859375,2.5,float64,-1024.0,4095.0,320.4031638238663,810.6924977471042
LIDC-IDRI-0032.nii.gz,"(512, 512, 249)",249,0.962891,0.962891,1.25,float64,-2000.0,4095.0,-382.90630812434307,1165.368624379895
LIDC-IDRI-0033.nii.gz,"(512, 512, 137)",137,0.78125,0.78125,2.5,float64,-1024.0,4095.0,213.1167779630118,784.5619051400079
LIDC-IDRI-0034.nii.gz,"(512, 512, 265)",265,0.669922,0.669922,1.25,float64,-2000.0,3208.0,-11.605221701568027,1117.2884077819149
LIDC-IDRI-0035.nii.gz,"(512, 512, 133)",133,0.820312,0.820312,2.5,float64,-1024.0,4095.0,199.85597805510787,764.1941051680794
LIDC-IDRI-0036.nii.gz,"(512, 512, 273)",273,0.740234,0.740234,1.25,float64,-2000.0,4095.0,28.625609876471998,1137.5280210116778
LIDC-IDRI-0037.nii.gz,"(512, 512, 141)",141,0.625,0.625,2.5,float64,-1024.0,4095.0,168.57970404117665,762.8133045658013
LIDC-IDRI-0038.nii.gz,"(512, 512, 133)",133,0.664062,0.664062,2.5,float64,-1024.0,4095.0,272.12544686453685,794.9536281787892
LIDC-IDRI-0039.nii.gz,"(512, 512, 281)",281,0.816406,0.816406,1.25,float64,-2000.0,4095.0,-74.39821742862145,1080.29475742904
LIDC-IDRI-0040.nii.gz,"(512, 512, 121)",121,0.664062,0.664062,2.5,float64,-1024.0,4095.0,319.3087108391376,802.8957067165218
LIDC-IDRI-0041.nii.gz,"(512, 512, 149)",149,0.820312,0.820312,2.5,float64,-1024.0,4095.0,209.50148855119744,774.968352566836
LIDC-IDRI-0042.nii.gz,"(512, 512, 123)",123,0.703125,0.703125,2.5,float64,-1024.0,4095.0,316.4133159978603,799.9309319660491
LIDC-IDRI-0043.nii.gz,"(512, 512, 113)",113,0.742188,0.742188,2.5,float64,-1024.0,4095.0,254.24262936347353,796.5463590386183
LIDC-IDRI-0044.nii.gz,"(512, 512, 147)",147,0.703125,0.703125,2.5,float64,-1024.0,4095.0,211.80469035453538,787.3100628583303
LIDC-IDRI-0045.nii.gz,"(512, 512, 133)",133,0.664062,0.664062,2.5,float64,-1024.0,3082.0,210.858057782166,775.5463998157131
LIDC-IDRI-0046.nii.gz,"(512, 512, 128)",128,0.742188,0.742188,2.5,float64,-1024.0,4095.0,229.1266842186451,783.3533235752668
LIDC-IDRI-0047.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,272.1615471517233,796.0874750809016
LIDC-IDRI-0048.nii.gz,"(512, 512, 297)",297,0.949219,0.949219,1.25,float64,-2000.0,2862.0,-105.06720790156612,1079.3464070410755
LIDC-IDRI-0049.nii.gz,"(512, 512, 133)",133,0.644531,0.644531,2.5,float64,-1024.0,4095.0,229.84720023592612,787.5414545431748
LIDC-IDRI-0050.nii.gz,"(512, 512, 139)",139,0.78125,0.78125,2.5,float64,-1024.0,4095.0,113.77648179308116,734.6265307024736
LIDC-IDRI-0051.nii.gz,"(512, 512, 133)",133,0.9375,0.9375,2.5,float64,-1024.0,4095.0,203.3962639830166,774.2020329201031
LIDC-IDRI-0052.nii.gz,"(512, 512, 272)",272,0.742188,0.742188,1.25,float64,-1024.0,4095.0,203.2206272938672,772.8979933489965
LIDC-IDRI-0053.nii.gz,"(512, 512, 111)",111,0.703125,0.703125,2.5,float64,-1024.0,7020.0,208.62858268806525,783.8606247250599
LIDC-IDRI-0054.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,249.67531628716262,796.8288066143749
LIDC-IDRI-0055.nii.gz,"(512, 512, 139)",139,0.703125,0.703125,2.5,float64,-1024.0,4095.0,329.45927456643085,809.5039484460405
LIDC-IDRI-0056.nii.gz,"(512, 512, 245)",245,0.826172,0.826172,1.25,float64,-2000.0,4095.0,-99.45390618771923,1071.662193590979
LIDC-IDRI-0057.nii.gz,"(512, 512, 245)",245,0.730469,0.730469,1.25,float64,-2000.0,2924.0,-49.00830704046756,1096.36821970853
LIDC-IDRI-0058.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,219.88412340780846,788.4162534677322
LIDC-IDRI-0059.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,144.76777255983282,750.5114968162909
LIDC-IDRI-0060.nii.gz,"(512, 512, 115)",115,0.703125,0.703125,2.5,float64,-1024.0,4095.0,223.26426083108655,767.5447807039794
LIDC-IDRI-0061.nii.gz,"(512, 512, 123)",123,0.820312,0.820312,2.5,float64,-1024.0,4095.0,288.96694881160084,800.5966943080105
LIDC-IDRI-0062.nii.gz,"(512, 512, 117)",117,0.703125,0.703125,2.5,float64,-1024.0,4095.0,346.2582575806186,815.4603654246538
LIDC-IDRI-0063.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,210.86188957386446,771.051703431421
LIDC-IDRI-0064.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,271.10229079167647,798.8254731834896
LIDC-IDRI-0065.nii.gz,"(512, 512, 237)",237,0.871094,0.871094,1.25,float64,-2000.0,4095.0,-44.764354577044394,1102.8123301148996
LIDC-IDRI-0066.nii.gz,"(512, 512, 733)",733,0.63671875,0.63671875,0.6,float64,0.0,4095.0,597.2704816196332,472.52437963641125
LIDC-IDRI-0067.nii.gz,"(512, 512, 244)",244,0.78125,0.78125,1.25,float64,-1024.0,4095.0,283.4537854741831,824.1478906921201
LIDC-IDRI-0068.nii.gz,"(512, 512, 261)",261,0.683594,0.683594,1.25,float64,-2000.0,4095.0,-2.0652640039436663,1133.7810797583845
LIDC-IDRI-0069.nii.gz,"(512, 512, 136)",136,0.741,0.741,2.0,float64,-2479.0,24796.0,-639.8716784365037,833.5046919358268
LIDC-IDRI-0070.nii.gz,"(512, 512, 133)",133,0.742188,0.742188,2.5,float64,-1024.0,4095.0,302.5559029256491,806.5748447450816
LIDC-IDRI-0071.nii.gz,"(512, 512, 261)",261,0.910156,0.910156,1.25,float64,-2000.0,2774.0,-90.63315472657654,1072.8832476901007
LIDC-IDRI-0072.nii.gz,"(512, 512, 305)",305,0.732422,0.732422,1.25,float64,-2000.0,4095.0,152.06366967373208,1185.4951393639894
LIDC-IDRI-0073.nii.gz,"(512, 512, 131)",131,0.703125,0.703125,2.5,float64,-1024.0,4095.0,174.19222722526726,769.1692621324786
LIDC-IDRI-0074.nii.gz,"(512, 512, 109)",109,0.703125,0.703125,2.5,float64,-1024.0,4095.0,224.19289506684748,783.6276712895914
LIDC-IDRI-0075.nii.gz,"(512, 512, 257)",257,0.921875,0.921875,1.25,float64,-2000.0,2888.0,-78.679864772099,1079.5487350257479
LIDC-IDRI-0076.nii.gz,"(512, 512, 297)",297,0.787109,0.787109,1.25,float64,-2000.0,4095.0,-11.197668942538174,1119.3283270273348
LIDC-IDRI-0077.nii.gz,"(512, 512, 130)",130,0.664062,0.664062,2.5,float64,-1024.0,4095.0,300.73943293644834,819.3585305339202
LIDC-IDRI-0078.nii.gz,"(512, 512, 87)",87,0.65,0.65,3.0,float64,-2048.0,8155.0,-702.1542884125107,812.5235137788857
LIDC-IDRI-0079.nii.gz,"(512, 512, 113)",113,0.698,0.698,3.0,float64,-7132.0,18507.0,-700.1912087297018,808.834653408307
LIDC-IDRI-0080.nii.gz,"(512, 512, 257)",257,0.78125,0.78125,1.25,float64,-2000.0,4095.0,-60.9217651901542,1088.9515389093997
LIDC-IDRI-0081.nii.gz,"(512, 512, 126)",126,0.859375,0.859375,2.5,float64,-1024.0,4095.0,246.47537237500387,789.8894346051458
LIDC-IDRI-0082.nii.gz,"(512, 512, 242)",242,0.703125,0.703125,1.25,float64,-6195.0,23655.0,288.0521090641495,833.8855331722698
LIDC-IDRI-0083.nii.gz,"(512, 512, 218)",218,0.820312,0.820312,1.25,float64,-1024.0,4095.0,138.65852341958143,741.7044126226558
LIDC-IDRI-0084.nii.gz,"(512, 512, 166)",166,0.705,0.705,2.0,float64,-4471.0,29247.0,-799.3145283848406,808.0587747048221
LIDC-IDRI-0085.nii.gz,"(512, 512, 268)",268,0.804688,0.804688,1.25,float64,-2000.0,4095.0,56.19458319535896,1153.4330879940624
LIDC-IDRI-0086.nii.gz,"(512, 512, 246)",246,0.7402344,0.7402344,3.0,float64,0.0,4095.0,541.4014392790756,474.8879878519785
LIDC-IDRI-0087.nii.gz,"(512, 512, 130)",130,0.703125,0.703125,2.5,float64,-1024.0,4095.0,182.15180232708272,777.2614141959963
LIDC-IDRI-0088.nii.gz,"(512, 512, 241)",241,0.609375,0.609375,1.25,float64,-2000.0,4095.0,102.20935669578458,1168.291035545638
LIDC-IDRI-0089.nii.gz,"(512, 512, 147)",147,0.820312,0.820312,2.5,float64,-1024.0,4095.0,203.43315890046205,783.6575946677726
LIDC-IDRI-0090.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,245.22325945976084,790.2799227612585
LIDC-IDRI-0091.nii.gz,"(512, 512, 197)",197,0.859375,0.859375,1.25,float64,-1024.0,4095.0,174.3379898845847,752.8396980582115
LIDC-IDRI-0092.nii.gz,"(512, 512, 241)",241,0.773438,0.773438,1.25,float64,-2000.0,3937.0,-95.71768071344779,1067.1347536102637
LIDC-IDRI-0093.nii.gz,"(512, 512, 125)",125,0.664062,0.664062,2.5,float64,-1024.0,4095.0,266.8365751953125,801.6909445709304
LIDC-IDRI-0094.nii.gz,"(512, 512, 385)",385,0.7363281,0.7363281,2.0,float64,0.0,4095.0,559.8382521195845,488.21746192119696
LIDC-IDRI-0095.nii.gz,"(512, 512, 343)",343,0.5996094,0.5996094,2.0,float64,0.0,4095.0,641.5027418887303,469.8201118965714
LIDC-IDRI-0096.nii.gz,"(512, 512, 127)",127,0.703125,0.703125,2.5,float64,-1024.0,4095.0,284.9078962971845,797.2230361008419
LIDC-IDRI-0097.nii.gz,"(512, 512, 245)",245,0.833984,0.833984,1.25,float64,-2000.0,4095.0,-44.90907405931122,1104.0075639553884
LIDC-IDRI-0098.nii.gz,"(512, 512, 104)",104,0.63671875,0.63671875,3.0,float64,0.0,4095.0,464.9307551383972,495.2661688685301
LIDC-IDRI-0099.nii.gz,"(512, 512, 194)",194,0.78125,0.78125,1.25,float64,-1024.0,4095.0,254.72767147575456,794.1998562910874
LIDC-IDRI-0100.nii.gz,"(512, 512, 269)",269,0.876953,0.876953,1.25,float64,-2000.0,4095.0,-82.62702693726493,1085.139155403533
LIDC-IDRI-0101.nii.gz,"(512, 512, 150)",150,0.6269531,0.6269531,3.0,float64,0.0,3854.0,568.8294373321534,489.76726598951495
LIDC-IDRI-0102.nii.gz,"(512, 512, 143)",143,0.976562,0.976562,2.5,float64,-1024.0,4095.0,328.77325146014874,831.6527303129054
LIDC-IDRI-0103.nii.gz,"(512, 512, 111)",111,0.6328125,0.6328125,3.0,float64,0.0,4095.0,635.906425304241,474.84896280550134
LIDC-IDRI-0104.nii.gz,"(512, 512, 105)",105,0.644,0.644,3.0,float64,-2048.0,5705.0,-834.728020004999,767.1578822729272
LIDC-IDRI-0105.nii.gz,"(512, 512, 154)",154,0.664062,0.664062,2.5,float64,-1024.0,4095.0,138.5242696985022,751.953034437736
LIDC-IDRI-0106.nii.gz,"(512, 512, 158)",158,0.698,0.698,2.0,float64,-2178.0,16393.0,-650.4729474224622,832.6577672993061
LIDC-IDRI-0107.nii.gz,"(512, 512, 136)",136,0.644,0.644,2.0,float64,-2048.0,6463.0,-717.8601922147415,808.7067605432704
LIDC-IDRI-0108.nii.gz,"(512, 512, 143)",143,0.703125,0.703125,2.5,float64,-1024.0,4095.0,210.11798970682636,768.5358312566902
LIDC-IDRI-0109.nii.gz,"(512, 512, 223)",223,0.78125,0.78125,1.25,float64,-1024.0,4095.0,154.04217240200984,766.5764729256293
LIDC-IDRI-0110.nii.gz,"(512, 512, 125)",125,0.73046875,0.73046875,3.0,float64,0.0,4085.0,574.3585690002442,475.43639487961974
LIDC-IDRI-0111.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,3199.0,138.73251534942398,740.4328496973027
LIDC-IDRI-0112.nii.gz,"(512, 512, 123)",123,0.703125,0.703125,2.5,float64,-1024.0,4095.0,220.98319011781274,781.6735150398323
LIDC-IDRI-0113.nii.gz,"(512, 512, 145)",145,0.820312,0.820312,2.5,float64,-1024.0,4095.0,217.17092193077352,781.6050927767072
LIDC-IDRI-0114.nii.gz,"(512, 512, 214)",214,0.878906,0.878906,1.25,float64,-1024.0,4095.0,155.41009566048595,752.8698563579682
LIDC-IDRI-0115.nii.gz,"(512, 512, 112)",112,0.573,0.573,3.0,float64,-2048.0,4032.0,-814.985062292644,778.5590426049122
LIDC-IDRI-0116.nii.gz,"(512, 512, 133)",133,0.976562,0.976562,2.5,float64,-1024.0,4095.0,150.16376277378626,779.7080201139792
LIDC-IDRI-0117.nii.gz,"(512, 512, 122)",122,0.65,0.65,3.0,float64,-2048.0,2104.0,-732.0450114265817,817.3871123805089
LIDC-IDRI-0118.nii.gz,"(512, 512, 265)",265,0.882812,0.882812,1.25,float64,-2000.0,4095.0,-47.67799822249503,1100.193569665057
LIDC-IDRI-0119.nii.gz,"(512, 512, 345)",345,0.5410156,0.5410156,2.0,float64,0.0,4095.0,436.3874851724376,504.6880511717258
LIDC-IDRI-0120.nii.gz,"(512, 512, 183)",183,0.946,0.946,2.0,float64,-32768.0,32767.0,-830.5971828731683,802.4138665431133
LIDC-IDRI-0121.nii.gz,"(512, 512, 277)",277,0.917969,0.917969,1.25,float64,-2000.0,4095.0,-97.82391696200044,1070.420159222427
LIDC-IDRI-0122.nii.gz,"(512, 512, 119)",119,0.742188,0.742188,2.5,float64,-1024.0,4095.0,255.49072435523283,797.6591930293395
LIDC-IDRI-0123.nii.gz,"(512, 512, 236)",236,0.859375,0.859375,1.25,float64,-1024.0,4095.0,183.95454987024857,766.1119286528884
LIDC-IDRI-0124.nii.gz,"(512, 512, 117)",117,0.78125,0.78125,2.5,float64,-1024.0,4095.0,206.22561218392136,775.6534629150709
LIDC-IDRI-0125.nii.gz,"(512, 512, 238)",238,0.898438,0.898438,1.25,float64,-1999.0,9085.0,166.9155160599396,770.9700531159176
LIDC-IDRI-0126.nii.gz,"(512, 512, 137)",137,0.78125,0.78125,2.5,float64,-1024.0,4095.0,191.97764306172837,776.9938940225046
LIDC-IDRI-0127.nii.gz,"(512, 512, 117)",117,0.7792969,0.7792969,3.0,float64,0.0,3920.0,756.0727871951893,392.47963340100847
LIDC-IDRI-0128.nii.gz,"(512, 512, 257)",257,0.851562,0.851562,1.25,float64,-2000.0,4095.0,-9.247997862819568,1112.6771897886774
LIDC-IDRI-0129.nii.gz,"(512, 512, 253)",253,0.742188,0.742188,1.25,float64,-1024.0,4095.0,200.40051420309797,777.3870250165509
LIDC-IDRI-0130.nii.gz,"(512, 512, 324)",324,0.7207031,0.7207031,2.0,float64,0.0,4095.0,506.08874819013806,495.65789033408987
LIDC-IDRI-0131.nii.gz,"(512, 512, 197)",197,0.703125,0.703125,1.25,float64,-1024.0,4095.0,292.0407876532695,824.2896381158934
LIDC-IDRI-0132.nii.gz,"(512, 512, 243)",243,0.5371094,0.5371094,3.0,float64,0.0,4095.0,579.0874172257788,490.6461453656576
LIDC-IDRI-0133.nii.gz,"(512, 512, 238)",238,0.742188,0.742188,1.25,float64,-1024.0,4095.0,263.6923841428356,810.9167446881962
LIDC-IDRI-0134.nii.gz,"(512, 512, 118)",118,0.705,0.705,3.0,float64,-2048.0,4053.0,-755.1541354939089,807.0746499644583
LIDC-IDRI-0135.nii.gz,"(512, 512, 127)",127,0.859375,0.859375,2.5,float64,-1024.0,4095.0,294.64479590588667,802.5259306802641
LIDC-IDRI-0136.nii.gz,"(512, 512, 153)",153,0.8359375,0.8359375,3.0,float64,0.0,4095.0,506.233424691593,466.6689659727493
LIDC-IDRI-0137.nii.gz,"(512, 512, 145)",145,0.78125,0.78125,2.5,float64,-1024.0,4095.0,352.1143924844676,825.4597304781652
LIDC-IDRI-0138.nii.gz,"(512, 512, 273)",273,0.878906,0.878906,1.25,float64,-2000.0,4095.0,-94.09243873624138,1072.2712731534136
LIDC-IDRI-0139.nii.gz,"(512, 512, 114)",114,0.703125,0.703125,2.5,float64,-1024.0,4095.0,272.12960490845796,803.2447198800213
LIDC-IDRI-0140.nii.gz,"(512, 512, 588)",588,0.5136719,0.5136719,0.6,float64,0.0,4095.0,584.9647285824731,484.4246578492495
LIDC-IDRI-0141.nii.gz,"(512, 512, 368)",368,0.6230469,0.6230469,2.0,float64,0.0,4095.0,462.83897122092867,505.98528118894654
LIDC-IDRI-0142.nii.gz,"(512, 512, 333)",333,0.7753906,0.7753906,2.0,float64,0.0,4095.0,611.2266347959593,473.56122812614285
LIDC-IDRI-0143.nii.gz,"(512, 512, 133)",133,0.664062,0.664062,2.5,float64,-1024.0,4096.0,211.02658012218046,784.0332935340982
LIDC-IDRI-0144.nii.gz,"(512, 512, 133)",133,0.742188,0.742188,2.5,float64,-1024.0,3071.0,-591.8143488088049,491.88553947280474
LIDC-IDRI-0145.nii.gz,"(512, 512, 139)",139,0.78125,0.78125,2.5,float64,-1024.0,4095.0,288.35274159822535,794.4853964907744
LIDC-IDRI-0146.nii.gz,"(512, 512, 310)",310,0.917969,0.917969,1.25,float64,-2000.0,4095.0,-120.53589799942509,1059.6434812494035
LIDC-IDRI-0147.nii.gz,"(512, 512, 136)",136,0.65,0.65,2.0,float64,-2048.0,4468.0,-723.7323691704694,800.9286554187481
LIDC-IDRI-0148.nii.gz,"(512, 512, 131)",131,0.78125,0.78125,2.5,float64,-1024.0,4095.0,356.6812148640174,811.7263440185245
LIDC-IDRI-0149.nii.gz,"(512, 512, 143)",143,0.78125,0.78125,2.5,float64,-1024.0,4095.0,303.21412306565503,812.5978994814984
LIDC-IDRI-0150.nii.gz,"(512, 512, 102)",102,0.647,0.647,3.0,float64,-2048.0,4535.0,-723.5253526276233,811.7290849577574
LIDC-IDRI-0151.nii.gz,"(512, 512, 223)",223,0.57421875,0.57421875,3.0,float64,-2048.0,4608.0,-85.60241795013839,936.269262092932
LIDC-IDRI-0152.nii.gz,"(512, 512, 135)",135,0.78125,0.78125,2.5,float64,-1024.0,4095.0,195.64046424583154,771.7517057398095
LIDC-IDRI-0153.nii.gz,"(512, 512, 139)",139,0.898438,0.898438,2.5,float64,-1024.0,4095.0,248.15036265970133,774.2111331722264
LIDC-IDRI-0154.nii.gz,"(512, 512, 115)",115,0.702,0.702,3.0,float64,-2048.0,2845.0,-663.9207541424295,822.2858507699955
LIDC-IDRI-0155.nii.gz,"(512, 512, 238)",238,0.78125,0.78125,1.25,float64,-1024.0,4095.0,270.2937479259587,795.5838291466488
LIDC-IDRI-0156.nii.gz,"(512, 512, 127)",127,0.677,0.677,3.0,float64,-2048.0,4094.0,-700.3022399361678,812.9082643834901
LIDC-IDRI-0157.nii.gz,"(512, 512, 133)",133,0.820312,0.820312,2.5,float64,-1024.0,4095.0,241.5607646282454,782.0678984028561
LIDC-IDRI-0158.nii.gz,"(512, 512, 251)",251,0.808594,0.808594,1.25,float64,-2000.0,4095.0,-41.965882578694014,1105.387438631799
LIDC-IDRI-0159.nii.gz,"(512, 512, 137)",137,0.78125,0.78125,2.5,float64,-1024.0,4095.0,183.80176012359397,773.204203054807
LIDC-IDRI-0160.nii.gz,"(512, 512, 140)",140,0.78125,0.78125,2.5,float64,-1024.0,4095.0,286.3371938705444,816.5443661082275
LIDC-IDRI-0161.nii.gz,"(512, 512, 251)",251,0.820312,0.820312,1.25,float64,-1024.0,4095.0,176.2302064477685,758.9344620512009
LIDC-IDRI-0162.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,288.34144139110595,790.9045221753618
LIDC-IDRI-0163.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,289.41594182638295,812.6725592328337
LIDC-IDRI-0164.nii.gz,"(512, 512, 258)",258,0.859375,0.859375,1.25,float64,-1024.0,4095.0,215.45496245687323,777.4878566829046
LIDC-IDRI-0165.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,197.19283002122003,771.0038165360468
LIDC-IDRI-0166.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,89.6713595569582,717.6860757702796
LIDC-IDRI-0167.nii.gz,"(512, 512, 133)",133,0.664062,0.664062,2.5,float64,-1024.0,4095.0,359.2337688359999,814.510310756576
LIDC-IDRI-0168.nii.gz,"(512, 512, 232)",232,0.703125,0.703125,1.25,float64,-1024.0,4095.0,188.31486670724277,764.6844920406023
LIDC-IDRI-0169.nii.gz,"(512, 512, 238)",238,0.625,0.625,1.25,float64,-1024.0,4095.0,273.749184440164,823.2769379856649
LIDC-IDRI-0170.nii.gz,"(512, 512, 206)",206,0.898438,0.898438,1.25,float64,-1024.0,4095.0,249.92146019796724,783.5977808586728
LIDC-IDRI-0171.nii.gz,"(512, 512, 95)",95,0.859375,0.859375,2.5,float64,-1024.0,4095.0,234.96605710481342,779.2990963934321
LIDC-IDRI-0172.nii.gz,"(512, 512, 127)",127,0.703125,0.703125,2.5,float64,-1024.0,4095.0,338.25344398078016,805.9508029238219
LIDC-IDRI-0173.nii.gz,"(512, 512, 145)",145,0.742188,0.742188,2.5,float64,-1024.0,4095.0,251.3130036978886,798.7621387397123
LIDC-IDRI-0174.nii.gz,"(512, 512, 133)",133,0.742188,0.742188,2.5,float64,-1024.0,4095.0,284.9892418653445,791.6801600925324
LIDC-IDRI-0175.nii.gz,"(512, 512, 131)",131,0.703125,0.703125,2.5,float64,-1024.0,4095.0,247.2210529414752,777.0981094533348
LIDC-IDRI-0176.nii.gz,"(512, 512, 214)",214,0.703125,0.703125,1.25,float64,-1024.0,4095.0,298.7697525202671,813.6848149488587
LIDC-IDRI-0177.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,2499.0,297.0420634621068,799.5167166199983
LIDC-IDRI-0178.nii.gz,"(512, 512, 125)",125,0.703125,0.703125,2.5,float64,-1024.0,4095.0,232.62772647094727,792.9360839985278
LIDC-IDRI-0179.nii.gz,"(512, 512, 123)",123,0.703125,0.703125,2.5,float64,-1024.0,4095.0,193.7491737303695,762.857194012295
LIDC-IDRI-0180.nii.gz,"(512, 512, 238)",238,0.78125,0.78125,1.25,float64,-1024.0,4095.0,159.52855082920618,762.4979162884133
LIDC-IDRI-0181.nii.gz,"(512, 512, 150)",150,0.78125,0.78125,2.5,float64,-1024.0,4095.0,134.4563530731201,758.0029570747179
LIDC-IDRI-0182.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,278.4363639946271,798.5395453210301
